,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,SD,,80.00,,,,,,,,,,,,,
,,,,,,tau,10000,80.00,,,,,,,,,,,,,
,,,,,,visits,1,1.00,,,,,,,,,,,,,
M,N_C,N_W,,,,,R_C,R_W,,,,,Rcycle,Rsys,Tsys,U_W,,,,,Rsys-slope
49,48.38,0.619,,,,,10000,127.92,,,,,10127.92,127.92,0.0048,0.387,,,,,1.6
50,49.36,0.639,,,,,10000,129.51,,,,,10129.51,129.51,0.0049,0.395,,,,,1.6
51,50.34,0.660,,,,,10000,131.14,,,,,10131.14,131.14,0.0050,0.403,,,,,1.6
52,51.32,0.682,,,,,10000,132.81,,,,,10132.81,132.81,0.0051,0.411,,,,,1.7
53,52.30,0.704,,,,,10000,134.53,,,,,10134.53,134.53,0.0052,0.418,,,,,1.7
54,53.27,0.726,,,,,10000,136.28,,,,,10136.28,136.28,0.0053,0.426,,,,,1.8
55,54.25,0.749,,,,,10000,138.08,,,,,10138.08,138.08,0.0054,0.434,,,,,1.8
56,55.23,0.773,,,,,10000,139.93,,,,,10139.93,139.93,0.0055,0.442,,,,,1.8
57,56.20,0.797,,,,,10000,141.82,,,,,10141.82,141.82,0.0056,0.450,,,,,1.9
58,57.18,0.822,,,,,10000,143.77,,,,,10143.77,143.77,0.0057,0.457,,,,,1.9
59,58.15,0.848,,,,,10000,145.76,,,,,10145.76,145.76,0.0058,0.465,,,,,2.0
60,59.13,0.874,,,,,10000,147.81,,,,,10147.81,147.81,0.0059,0.473,,,,,2.0
61,60.10,0.901,,,,,10000,149.92,,,,,10149.92,149.92,0.0060,0.481,,,,,2.1
62,61.07,0.929,,,,,10000,152.08,,,,,10152.08,152.08,0.0061,0.489,,,,,2.2
63,62.04,0.957,,,,,10000,154.30,,,,,10154.30,154.30,0.0062,0.496,,,,,2.2
64,63.01,0.987,,,,,10000,156.59,,,,,10156.59,156.59,0.0063,0.504,,,,,2.3
65,63.98,1.017,,,,,10000,158.94,,,,,10158.94,158.94,0.0064,0.512,,,,,2.4
66,64.95,1.048,,,,,10000,161.35,,,,,10161.35,161.35,0.0065,0.520,,,,,2.4
