Timestamp,CPU_0_FREQ,CPU_1_FREQ
185,1000000,1000000
185,1000000,1000000
185,1000000,1000000
1354,1000000,1000000
1354,1000000,1000000
1354,1000000,1000000
3077,1000000,1000000
3458,1000000,1000000
3747,1000000,1000000
6998,1000000,1000000
7246,1000000,1000000
7759,1000000,1000000
10844,1000000,1000000
10913,1000000,1000000
13278,1000000,1000000
13747,1000000,1000000
16009,1000000,1000000
16052,1000000,1000000
16421,1000000,1000000
17723,1000000,1000000
20185,1000000,1000000
20185,1000000,1000000
20185,1000000,1000000
21354,1000000,1000000
21354,1000000,1000000
21354,1000000,1000000
22073,1000000,1000000
23318,1000000,1000000
24854,1000000,1000000
25273,1000000,1000000
25744,1000000,1000000
28916,1000000,1000000
29653,1000000,1000000
32428,1000000,1000000
35033,1000000,1000000
36769,1000000,1000000
38154,1000000,1000000
38407,1000000,1000000
38893,1000000,1000000
39898,1000000,1000000
40185,1000000,1000000
40185,1000000,1000000
41112,1000000,1000000
41185,1000000,1000000
41185,1000000,1000000
41354,1000000,1000000
41354,1000000,1000000
42182,1000000,1000000
42354,1000000,1000000
42354,1000000,1000000
44184,1000000,1000000
44799,1000000,1000000
45531,1000000,1000000
48015,1000000,1000000
49950,1000000,1000000
50578,1000000,1000000
54910,1000000,1000000
60185,1000000,1000000
61185,1000000,1000000
61354,1000000,1000000
62185,1000000,1000000
62185,1000000,1000000
62265,1000000,1000000
62354,1000000,1000000
62354,1000000,1000000
62735,1000000,1000000
63354,1000000,1000000
63354,1000000,1000000
69488,1000000,1000000
74537,1000000,1000000
75567,1000000,1000000
75572,1000000,1000000
75707,1000000,1000000
80754,1000000,1000000
81185,1000000,1000000
82185,1000000,1000000
82354,1000000,1000000
83185,1000000,1000000
83185,1000000,1000000
83354,1000000,1000000
84354,1000000,1000000
84354,1000000,1000000
85915,1000000,1000000
86058,1000000,1000000
86272,1000000,1000000
87267,1000000,1000000
89115,1000000,1000000
91274,1000000,1000000
91497,1000000,1000000
95969,1000000,1000000
97936,1000000,1000000
100361,1000000,1000000
100870,1000000,1000000
101233,1000000,1000000
102185,1000000,1000000
102447,1000000,1000000
103185,1000000,1000000
104185,1000000,1000000
104185,1000000,1000000
104294,1000000,1000000
104354,1000000,1000000
104591,1000000,1000000
105354,1000000,1000000
105354,1000000,1000000
107245,1000000,1000000
110269,1000000,1000000
111632,1000000,1000000
111825,1000000,1000000
114245,1000000,1000000
115714,1000000,1000000
116250,1000000,1000000
117689,1000000,1000000
123185,1000000,1000000
124185,1000000,1000000
124354,1000000,1000000
125185,1000000,1000000
125185,1000000,1000000
125354,1000000,1000000
125354,1000000,1000000
125404,1000000,1000000
126354,1000000,1000000
126354,1000000,1000000
131268,1000000,1000000
135196,1000000,1000000
145185,1000000,1000000
145354,1000000,1000000
146185,1000000,1000000
146185,1000000,1000000
146354,1000000,1000000
146354,1000000,1000000
147354,1000000,1000000
147354,1000000,1000000
150693,1000000,1000000
153700,1000000,1000000
165185,1000000,1000000
166185,1000000,1000000
167185,1000000,1000000
167185,1000000,1000000
167354,1000000,1000000
168354,1000000,1000000
168354,1000000,1000000
168689,1000000,1000000
172784,1000000,1000000
177551,1000000,1000000
179266,1000000,1000000
180853,1000000,1000000
181231,1000000,1000000
183638,1000000,1000000
186185,1000000,1000000
187185,1000000,1000000
188185,1000000,1000000
188185,1000000,1000000
188354,1000000,1000000
189354,1000000,1000000
189354,1000000,1000000
193944,1000000,1000000
202565,1000000,1000000
207185,1000000,1000000
208185,1000000,1000000
209185,1000000,1000000
209185,1000000,1000000
209354,1000000,1000000
210354,1000000,1000000
210354,1000000,1000000
210631,1000000,1000000
223319,1000000,1000000
226807,1000000,1000000
228185,1000000,1000000
229185,1000000,1000000
230185,1000000,1000000
230185,1000000,1000000
230354,1000000,1000000
231296,1000000,1000000
231354,1000000,1000000
231354,1000000,1000000
234695,1000000,1000000
238909,1000000,1000000
238968,1000000,1000000
244312,1000000,1000000
250185,1000000,1000000
250354,1000000,1000000
251185,1000000,1000000
251185,1000000,1000000
251354,1000000,1000000
251354,1000000,1000000
252354,1000000,1000000
252354,1000000,1000000
262476,1000000,1000000
271185,1000000,1000000
271354,1000000,1000000
272185,1000000,1000000
272185,1000000,1000000
272354,1000000,1000000
273354,1000000,1000000
273354,1000000,1000000
278650,1000000,1000000
283974,1000000,1000000
285339,1000000,1000000
290504,1000000,1000000
291185,1000000,1000000
292185,1000000,1000000
293185,1000000,1000000
293185,1000000,1000000
293354,1000000,1000000
294354,1000000,1000000
294354,1000000,1000000
312185,1000000,1000000
313185,1000000,1000000
314185,1000000,1000000
314185,1000000,1000000
314354,1000000,1000000
315354,1000000,1000000
315354,1000000,1000000
332670,1000000,1000000
334185,1000000,1000000
335185,1000000,1000000
335185,1000000,1000000
335354,1000000,1000000
336354,1000000,1000000
336354,1000000,1000000
347760,1000000,1000000
348478,1000000,1000000
349478,1000000,1000000
349478,1000000,1000000
355354,1000000,1000000
356354,1000000,1000000
357354,1000000,1000000
357354,1000000,1000000
359258,1000000,1000000
360258,1000000,1000000
360258,1000000,1000000
369478,1000000,1000000
370478,1000000,1000000
370478,1000000,1000000
376354,1000000,1000000
380258,1000000,1000000
381258,1000000,1000000
381258,1000000,1000000
382455,1000000,1000000
383455,1000000,1000000
383455,1000000,1000000
401258,1000000,1000000
402258,1000000,1000000
402258,1000000,1000000
403455,1000000,1000000
404455,1000000,1000000
404455,1000000,1000000
409620,1000000,1000000
422258,1000000,1000000
423258,1000000,1000000
423258,1000000,1000000
424455,1000000,1000000
425455,1000000,1000000
425455,1000000,1000000
