Timestamp,CPU_0_FREQ
185,1000000
185,1000000
185,1000000
256,1000000
260,1000000
809,1000000
853,1000000
1116,1000000
1135,1000000
1284,1000000
1354,1000000
1569,1000000
1825,1000000
1964,1000000
2225,1000000
2983,1000000
3077,1000000
3458,1000000
3747,1000000
4007,1000000
4026,1000000
4131,1000000
4313,1000000
4353,1000000
4593,1000000
4910,1000000
4965,1000000
5268,1000000
5339,1000000
5371,1000000
5412,1000000
5587,1000000
5608,1000000
5678,1000000
5731,1000000
5993,1000000
6698,1000000
6869,1000000
6998,1000000
7027,1000000
7246,1000000
7593,1000000
7657,1000000
7724,1000000
7759,1000000
8258,1000000
8266,1000000
8550,1000000
8725,1000000
8896,1000000
9249,1000000
9395,1000000
9587,1000000
9609,1000000
9678,1000000
10086,1000000
10388,1000000
10844,1000000
10872,1000000
10913,1000000
10984,1000000
11289,1000000
11343,1000000
11360,1000000
11449,1000000
11471,1000000
12414,1000000
12626,1000000
13052,1000000
13278,1000000
13664,1000000
13747,1000000
14003,1000000
14040,1000000
14172,1000000
15001,1000000
15342,1000000
15419,1000000
15549,1000000
15789,1000000
15840,1000000
15883,1000000
16009,1000000
16052,1000000
16211,1000000
16421,1000000
16432,1000000
16969,1000000
17502,1000000
17723,1000000
17725,1000000
17932,1000000
18152,1000000
19501,1000000
20185,1000000
20185,1000000
20185,1000000
20255,1000000
21213,1000000
21291,1000000
22073,1000000
22170,1000000
22620,1000000
22643,1000000
22931,1000000
23187,1000000
23318,1000000
23855,1000000
23907,1000000
24037,1000000
24141,1000000
24854,1000000
25046,1000000
25171,1000000
25273,1000000
25744,1000000
25782,1000000
25885,1000000
26077,1000000
26424,1000000
26762,1000000
26792,1000000
26845,1000000
27239,1000000
27682,1000000
28067,1000000
28362,1000000
28604,1000000
28916,1000000
29123,1000000
29546,1000000
29584,1000000
29653,1000000
29856,1000000
29924,1000000
30362,1000000
30449,1000000
30449,1000000
30478,1000000
31061,1000000
31402,1000000
31557,1000000
31616,1000000
31646,1000000
31668,1000000
32428,1000000
33117,1000000
33495,1000000
33759,1000000
34229,1000000
34267,1000000
35033,1000000
35519,1000000
35582,1000000
36617,1000000
36769,1000000
36943,1000000
36953,1000000
37560,1000000
37838,1000000
38154,1000000
38407,1000000
38501,1000000
38893,1000000
39898,1000000
40185,1000000
40185,1000000
40215,1000000
40394,1000000
41112,1000000
41185,1000000
41185,1000000
41388,1000000
41389,1000000
41944,1000000
41965,1000000
42182,1000000
42236,1000000
42487,1000000
43051,1000000
43949,1000000
43976,1000000
43986,1000000
44184,1000000
44786,1000000
44799,1000000
45293,1000000
45531,1000000
45798,1000000
45815,1000000
45939,1000000
46128,1000000
46317,1000000
46491,1000000
46618,1000000
46707,1000000
46953,1000000
48015,1000000
48055,1000000
48068,1000000
48097,1000000
48318,1000000
48547,1000000
48592,1000000
48809,1000000
48881,1000000
49119,1000000
49171,1000000
49553,1000000
49775,1000000
49846,1000000
49950,1000000
50317,1000000
50578,1000000
50596,1000000
50867,1000000
51316,1000000
51715,1000000
51782,1000000
52087,1000000
52261,1000000
53405,1000000
53949,1000000
54341,1000000
54460,1000000
54910,1000000
55504,1000000
57119,1000000
57160,1000000
57709,1000000
58081,1000000
58365,1000000
58486,1000000
58574,1000000
58622,1000000
59080,1000000
59594,1000000
60185,1000000
60381,1000000
60544,1000000
60566,1000000
60602,1000000
60908,1000000
61096,1000000
61185,1000000
61185,1000000
61343,1000000
62185,1000000
62185,1000000
62265,1000000
62607,1000000
62649,1000000
62666,1000000
62735,1000000
62956,1000000
63173,1000000
63784,1000000
64430,1000000
64805,1000000
65225,1000000
65982,1000000
66537,1000000
66836,1000000
67203,1000000
67346,1000000
67468,1000000
68393,1000000
69488,1000000
69910,1000000
70662,1000000
70687,1000000
71074,1000000
71115,1000000
71642,1000000
71943,1000000
72550,1000000
72886,1000000
73154,1000000
73241,1000000
73484,1000000
74233,1000000
74361,1000000
74495,1000000
74537,1000000
75278,1000000
75567,1000000
75572,1000000
75707,1000000
76622,1000000
76635,1000000
76685,1000000
77455,1000000
77482,1000000
78718,1000000
79120,1000000
80236,1000000
80754,1000000
80887,1000000
81185,1000000
82185,1000000
82185,1000000
82189,1000000
83185,1000000
83185,1000000
83634,1000000
84086,1000000
85483,1000000
85915,1000000
86058,1000000
86272,1000000
86368,1000000
87206,1000000
87267,1000000
88218,1000000
88838,1000000
88966,1000000
89115,1000000
89515,1000000
90495,1000000
90672,1000000
90831,1000000
91274,1000000
91497,1000000
91504,1000000
93485,1000000
93901,1000000
93976,1000000
94777,1000000
95131,1000000
95349,1000000
95969,1000000
96270,1000000
96407,1000000
96476,1000000
96724,1000000
97726,1000000
97936,1000000
97950,1000000
98496,1000000
98755,1000000
99336,1000000
99735,1000000
100361,1000000
100870,1000000
101233,1000000
102185,1000000
102354,1000000
102447,1000000
102597,1000000
103185,1000000
103185,1000000
103200,1000000
103771,1000000
104185,1000000
104185,1000000
104294,1000000
104561,1000000
104591,1000000
104805,1000000
104944,1000000
106590,1000000
107245,1000000
108338,1000000
108797,1000000
109897,1000000
110269,1000000
110531,1000000
111632,1000000
111825,1000000
111844,1000000
112714,1000000
113674,1000000
113718,1000000
114245,1000000
115070,1000000
115206,1000000
115457,1000000
115629,1000000
115714,1000000
116162,1000000
116250,1000000
117689,1000000
119909,1000000
120414,1000000
120607,1000000
120994,1000000
121591,1000000
121967,1000000
123185,1000000
124185,1000000
124185,1000000
124650,1000000
125185,1000000
125185,1000000
125258,1000000
125404,1000000
128103,1000000
128459,1000000
129218,1000000
129240,1000000
131268,1000000
131325,1000000
131541,1000000
131790,1000000
133329,1000000
135196,1000000
136097,1000000
136611,1000000
137048,1000000
138004,1000000
138370,1000000
138383,1000000
139867,1000000
142505,1000000
142766,1000000
144185,1000000
145185,1000000
145185,1000000
145987,1000000
146185,1000000
146185,1000000
147669,1000000
149617,1000000
149737,1000000
149971,1000000
150103,1000000
150520,1000000
150693,1000000
151549,1000000
153700,1000000
155569,1000000
155796,1000000
156161,1000000
156390,1000000
157798,1000000
157821,1000000
157974,1000000
159206,1000000
164456,1000000
165108,1000000
165185,1000000
166185,1000000
166185,1000000
166198,1000000
166460,1000000
166656,1000000
167185,1000000
167185,1000000
167225,1000000
168689,1000000
169306,1000000
170392,1000000
171724,1000000
172784,1000000
173104,1000000
173355,1000000
174338,1000000
177551,1000000
177949,1000000
178187,1000000
179266,1000000
179336,1000000
179486,1000000
180780,1000000
180853,1000000
180986,1000000
181231,1000000
183638,1000000
183912,1000000
185502,1000000
186185,1000000
187185,1000000
187185,1000000
188185,1000000
188185,1000000
188658,1000000
189757,1000000
191188,1000000
191577,1000000
191691,1000000
192173,1000000
193934,1000000
193944,1000000
197061,1000000
200216,1000000
201250,1000000
202565,1000000
203786,1000000
204373,1000000
207185,1000000
208185,1000000
209185,1000000
209185,1000000
210609,1000000
210631,1000000
211683,1000000
212230,1000000
218180,1000000
219124,1000000
223319,1000000
225664,1000000
226807,1000000
228185,1000000
228576,1000000
228705,1000000
229185,1000000
230185,1000000
230185,1000000
231296,1000000
233522,1000000
234695,1000000
236355,1000000
238168,1000000
238909,1000000
238968,1000000
242580,1000000
244312,1000000
246360,1000000
249185,1000000
250185,1000000
251185,1000000
251185,1000000
262476,1000000
