Timestamp,CPU_0_FREQ
185,1000000
185,1000000
185,1000000
1354,1000000
3077,1000000
3458,1000000
3747,1000000
6998,1000000
7246,1000000
7759,1000000
10844,1000000
10913,1000000
13278,1000000
13747,1000000
16009,1000000
16052,1000000
16421,1000000
17723,1000000
20185,1000000
20185,1000000
20185,1000000
22073,1000000
23318,1000000
24854,1000000
25273,1000000
25744,1000000
28916,1000000
29653,1000000
32428,1000000
35033,1000000
36769,1000000
38154,1000000
38407,1000000
38893,1000000
39898,1000000
40185,1000000
40185,1000000
41112,1000000
41185,1000000
41185,1000000
42182,1000000
44184,1000000
44799,1000000
45531,1000000
48015,1000000
49950,1000000
50578,1000000
54910,1000000
60185,1000000
61185,1000000
61185,1000000
62185,1000000
62185,1000000
62265,1000000
62735,1000000
69488,1000000
74537,1000000
75567,1000000
75572,1000000
75707,1000000
80754,1000000
81185,1000000
82185,1000000
83185,1000000
83185,1000000
85915,1000000
86058,1000000
86272,1000000
87267,1000000
89115,1000000
91274,1000000
91497,1000000
95969,1000000
97936,1000000
100361,1000000
100870,1000000
101233,1000000
102185,1000000
102447,1000000
103185,1000000
104185,1000000
104185,1000000
104294,1000000
104591,1000000
107245,1000000
110269,1000000
111632,1000000
111825,1000000
114245,1000000
115714,1000000
116250,1000000
117689,1000000
123185,1000000
124185,1000000
125185,1000000
125185,1000000
125404,1000000
131268,1000000
135196,1000000
144185,1000000
145185,1000000
146185,1000000
146185,1000000
150693,1000000
153700,1000000
165185,1000000
166185,1000000
167185,1000000
167185,1000000
168689,1000000
172784,1000000
177551,1000000
179266,1000000
180853,1000000
181231,1000000
183638,1000000
186185,1000000
187185,1000000
188185,1000000
188185,1000000
193944,1000000
202565,1000000
207185,1000000
208185,1000000
209185,1000000
209185,1000000
210631,1000000
223319,1000000
226807,1000000
228185,1000000
229185,1000000
230185,1000000
230185,1000000
231296,1000000
234695,1000000
238909,1000000
238968,1000000
244312,1000000
249185,1000000
250185,1000000
251185,1000000
251185,1000000
262476,1000000
270185,1000000
271185,1000000
272185,1000000
272185,1000000
278650,1000000
283974,1000000
285339,1000000
290504,1000000
291185,1000000
292185,1000000
293185,1000000
293185,1000000
312185,1000000
313185,1000000
314185,1000000
314185,1000000
332670,1000000
334185,1000000
335185,1000000
335185,1000000
347760,1000000
354185,1000000
355185,1000000
356185,1000000
356185,1000000
375185,1000000
376185,1000000
377185,1000000
377185,1000000
397185,1000000
398185,1000000
398185,1000000
409620,1000000
418185,1000000
419185,1000000
419185,1000000
438185,1000000
439185,1000000
440185,1000000
440185,1000000
460185,1000000
461185,1000000
461185,1000000
481185,1000000
482185,1000000
482185,1000000
502185,1000000
503185,1000000
503185,1000000
523185,1000000
524185,1000000
524185,1000000
544185,1000000
545185,1000000
545185,1000000
565185,1000000
566185,1000000
566185,1000000
586185,1000000
587185,1000000
587185,1000000
607185,1000000
608185,1000000
608185,1000000
628185,1000000
629185,1000000
629185,1000000
649185,1000000
650185,1000000
650185,1000000
670185,1000000
671185,1000000
671185,1000000
673089,1000000
674089,1000000
674089,1000000
687382,1000000
688382,1000000
688382,1000000
708382,1000000
709382,1000000
709382,1000000
729382,1000000
730382,1000000
730382,1000000
742359,1000000
743359,1000000
743359,1000000
763359,1000000
764359,1000000
764359,1000000
784359,1000000
785359,1000000
785359,1000000
805359,1000000
806359,1000000
806359,1000000
826359,1000000
827359,1000000
827359,1000000
847359,1000000
848359,1000000
848359,1000000
868359,1000000
869359,1000000
869359,1000000
889359,1000000
890359,1000000
890359,1000000
910359,1000000
911359,1000000
911359,1000000
931359,1000000
932359,1000000
932359,1000000
952359,1000000
953359,1000000
953359,1000000
973359,1000000
974359,1000000
974359,1000000
994359,1000000
995359,1000000
995359,1000000
1015359,1000000
1015691,6000000
1015691,6000000
1019024,6000000
1019190,6000000
1019190,6000000
1022523,6000000
1022689,6000000
1022689,6000000
1026022,6000000
1026188,6000000
1026188,6000000
1029521,6000000
1029687,6000000
1029687,6000000
1033020,6000000
1033186,6000000
1033186,6000000
1036519,6000000
1036685,6000000
1036685,6000000
1040018,6000000
1040184,6000000
1040184,6000000
1043517,6000000
1043683,6000000
1043683,6000000
1047016,6000000
1047182,6000000
1047182,6000000
1050515,6000000
1050681,6000000
1050681,6000000
1054014,6000000
1054180,6000000
1054180,6000000
1057513,6000000
1057679,6000000
1057679,6000000
1061012,6000000
1061178,6000000
1061178,6000000
1064511,6000000
1064677,6000000
1064677,6000000
1068010,6000000
1068176,6000000
1068176,6000000
1071509,6000000
1071675,6000000
1071675,6000000
1075008,6000000
1075174,6000000
1075174,6000000
1078507,6000000
1078673,6000000
1078673,6000000
1082006,6000000
1082172,6000000
1082172,6000000
1085505,6000000
1085671,6000000
1085671,6000000
1089004,6000000
1089170,6000000
1089170,6000000
1092192,6000000
1092358,6000000
1092358,6000000
1095691,6000000
1095857,6000000
1095857,6000000
1099190,6000000
1099356,6000000
1099356,6000000
1102689,6000000
1102855,6000000
1102855,6000000
1106188,6000000
1106354,6000000
1106354,6000000
1109687,6000000
1109853,6000000
1109853,6000000
1113186,6000000
1113352,6000000
1113352,6000000
1116685,6000000
1116851,6000000
1116851,6000000
1118507,6000000
1118673,6000000
1118673,6000000
1122006,6000000
1122172,6000000
1122172,6000000
1125505,6000000
1125671,6000000
1129004,6000000
1129170,6000000
1132503,6000000
1132669,6000000
1136002,6000000
1136168,6000000
1139501,6000000
1139667,6000000
1143000,6000000
1143166,6000000
1146499,6000000
1146665,6000000
1149998,6000000
1150164,6000000
1153497,6000000
1153663,6000000
1156996,6000000
1157162,6000000
1160495,6000000
1160661,6000000
1163994,6000000
1164160,6000000
1167493,6000000
1167659,6000000
1170992,6000000
1171158,6000000
1174491,6000000
1174657,6000000
1177361,6000000
1177527,6000000
1180860,6000000
1181026,6000000
1184359,6000000
1184691,6000000
1187483,6000000
1187649,6000000
1190982,6000000
1191148,6000000
1194481,6000000
1194647,6000000
1197980,6000000
1198146,6000000
1201479,6000000
1201645,6000000
1204978,6000000
1205144,6000000
1208477,6000000
1208643,6000000
1211976,6000000
1212142,6000000
1215475,6000000
1215641,6000000
1218974,6000000
1219140,6000000
1222473,6000000
1222639,6000000
1225972,6000000
1226138,6000000
1229471,6000000
1229637,6000000
1232970,6000000
1233136,6000000
1236469,6000000
1236635,6000000
1239968,6000000
1240134,6000000
1243467,6000000
1243633,6000000
1246966,6000000
1247132,6000000
1250465,6000000
1250631,6000000
1253964,6000000
1254130,6000000
1257463,6000000
1257629,6000000
1260962,6000000
1261128,6000000
1264461,6000000
1264627,6000000
1267960,6000000
1268126,6000000
1271459,6000000
1271625,6000000
1274958,6000000
1275124,6000000
1278457,6000000
1278623,6000000
1281956,6000000
1282122,6000000
1285455,6000000
1285621,6000000
1288954,6000000
1289120,6000000
1292453,6000000
1292619,6000000
1295790,6000000
1295956,6000000
1299289,6000000
1299455,6000000
1302788,6000000
1302954,6000000
1306287,6000000
1306453,6000000
1309786,6000000
1309952,6000000
1313285,6000000
1313451,6000000
1316784,6000000
1316950,6000000
1320283,6000000
1320449,6000000
1323782,6000000
1323948,6000000
1327281,6000000
1327447,6000000
1330780,6000000
1330946,6000000
1332064,6000000
1332230,6000000
1335563,6000000
1335729,6000000
1339062,6000000
1339228,6000000
1340290,6000000
